ObsDateTime,Height,Windspeed,WindDirection,Temperature,Pressure,Humidity
02-07-2019 17:38:07,376.7,2.17,223.83,34,966.1,37.5
02-07-2019 17:38:08,379,2.2,225.75,33.9,965.9,38
02-07-2019 17:38:09,383.1,2.17,226.76,33.9,965.4,38
02-07-2019 17:38:10,385.8,2.18,225.54,33.9,965.1,37.9
02-07-2019 17:38:11,390.2,2.26,222.51,33.9,964.7,37.8
02-07-2019 17:38:12,393.2,2.41,222.65,34,964.4,37
02-07-2019 17:38:13,398,2.56,225.01,34,963.9,36.7
02-07-2019 17:38:14,401.2,2.62,225.09,33.7,963.5,36.6
02-07-2019 17:38:15,406.3,2.61,222.48,33.8,963,35.6
02-07-2019 17:38:16,409.8,2.71,221.57,33.8,962.6,36.1
02-07-2019 17:38:17,415.1,2.88,220.77,33.7,962,35.4
02-07-2019 17:38:18,418.8,3.01,220.62,34,961.7,35
02-07-2019 17:38:19,422.5,3.11,220.1,34.3,961.3,33.9
02-07-2019 17:38:20,426.4,3.18,219.15,34.4,960.8,33.8
02-07-2019 17:38:21,430.4,3.21,218.37,34.3,960.4,33.6
02-07-2019 17:38:22,434.5,3.22,218.31,34.4,960,33.5
02-07-2019 17:38:23,438.8,3.27,219.14,34.5,959.5,33.3
02-07-2019 17:38:24,443.1,3.39,220.09,34.5,959.1,33.2
02-07-2019 17:38:25,447.5,3.53,220.23,34.3,958.6,33.2
02-07-2019 17:38:26,452.1,3.65,219.62,34.2,958.1,33.2
02-07-2019 17:38:27,456.8,3.74,218.88,34.1,957.6,33.2
02-07-2019 17:38:28,461.5,3.86,218.26,34.2,957.1,33.1
02-07-2019 17:38:29,466.4,4,217.96,34.2,956.6,33.1
02-07-2019 17:38:30,471.4,4.14,218.17,34.1,956.1,33.1
02-07-2019 17:38:31,476.4,4.26,218.83,34.1,955.6,33.1
02-07-2019 17:38:32,481.6,4.37,219.79,34,955,33.1
02-07-2019 17:38:33,486.9,4.47,220.82,33.9,954.4,33.1
02-07-2019 17:38:34,492.2,4.58,221.35,33.8,953.9,33.2
02-07-2019 17:38:35,497.7,4.69,221.08,33.8,953.3,33.2
02-07-2019 17:38:36,503.3,4.76,220.11,33.7,952.7,33.3
02-07-2019 17:38:37,509,4.82,219.63,33.7,952.1,33.3
02-07-2019 17:38:38,514.9,4.87,219.69,33.7,951.5,33.4
02-07-2019 17:38:39,520.8,4.93,220.4,33.7,950.9,33.4
02-07-2019 17:38:40,526.9,4.99,221.26,33.7,950.2,33.5
02-07-2019 17:38:41,533,5.06,221.86,33.6,949.6,33.6
02-07-2019 17:38:42,539.3,5.18,222.52,33.5,948.9,33.6
02-07-2019 17:38:43,545.6,5.34,223.12,33.5,948.3,33.7
02-07-2019 17:38:44,552.1,5.45,223.48,33.4,947.6,33.8
02-07-2019 17:38:45,558.7,5.52,223.8,33.3,946.9,33.9
02-07-2019 17:38:46,565.3,5.52,223.62,33.3,946.2,33.9
02-07-2019 17:38:47,572.1,5.51,223.39,33.3,945.5,34
02-07-2019 17:38:48,578.9,5.5,223.36,33.2,944.8,34
02-07-2019 17:38:49,585.7,5.54,223.93,33.1,944,34.1
02-07-2019 17:38:50,592.6,5.63,224.96,33.1,943.3,34.2
02-07-2019 17:38:51,599.4,5.72,226.17,33,942.6,34.3
02-07-2019 17:38:52,606.1,5.79,227.31,32.9,941.9,34.4
02-07-2019 17:38:53,613,5.79,227.11,32.9,941.2,34.5
02-07-2019 17:38:54,620,5.78,226.77,32.8,940.5,34.6
02-07-2019 17:38:55,626.9,5.78,226.79,32.7,939.8,34.7
02-07-2019 17:38:56,633.8,5.84,227.25,32.7,939,34.8
02-07-2019 17:38:57,640.7,5.96,228.61,32.6,938.3,34.9
02-07-2019 17:38:58,647.6,6.08,229.75,32.6,937.6,34.9
02-07-2019 17:38:59,654.4,6.16,230.5,32.5,936.9,35
02-07-2019 17:39:00,661.2,6.21,230.78,32.4,936.2,35.1
02-07-2019 17:39:01,668,6.28,230.97,32.4,935.5,35.2
02-07-2019 17:39:02,674.7,6.42,230.84,32.3,934.8,35.3
