Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-10.36,1.38,1.2,97.59,-14.54,-0.42
1.65,0.0,0.32,-0.24,180.85,-6.19,0.08
1.8,-1.23,0.1,0.08,94.61,12.44,-0.03
1.95,-0.98,0.64,0.12,123.1,16.5,-0.04
2.1,-1.03,0.19,0.09,100.19,19.16,-0.03
2.25,-0.81,0.11,0.12,97.57,17.72,-0.04
2.4,-1.31,0.06,0.11,92.69,16.93,-0.04
2.55,-0.57,-0.13,0.11,77.13,14.98,-0.04
2.7,-0.03,0.27,-0.03,173.08,16.51,0.01
2.85,0.69,0.14,-0.08,258.63,19.67,0.03
3.0,0.63,-0.95,-0.15,326.64,21.51,0.05
3.15,0.6,-1.5,-0.15,338.19,20.53,0.05
3.3,0.69,-1.89,-0.17,339.82,21.83,0.06
3.45,0.44,-1.5,-0.09,343.55,23.68,0.03
3.6,0.23,-1.24,-0.16,349.29,26.3,0.06
3.75,0.16,-0.5,-0.15,342.22,27.84,0.05
3.9,0.27,0.43,-0.23,211.69,30.35,0.08
4.05,0.57,0.89,-0.22,212.73,32.54,0.08
4.2,0.98,1.92,-0.25,207.04,41.94,0.09
4.35,0.94,2.16,-0.24,203.56,46.6,0.08
4.5,0.86,2.19,-0.23,201.52,46.76,0.08
4.65,0.58,2.26,-0.2,194.45,37.36,0.07
4.8,-0.33,2.44,-0.17,172.23,35.26,0.06
4.95,-1.4,2.68,-0.12,152.4,36.38,0.04
5.1,-1.82,3.73,-0.1,153.93,42.82,0.04
5.25,-2.74,4.47,-0.08,148.51,42.66,0.03
5.4,-2.81,4.67,0.09,149.01,38.67,-0.03
5.55,-3.07,3.59,0.15,139.47,37.88,-0.05
5.7,-2.37,2.6,0.16,137.63,39.2,-0.06
5.85,-2.21,2.26,0.25,135.6,45.15,-0.09
6.0,-2.66,2.13,0.26,128.68,47.36,-0.09
6.15,-2.72,1.86,0.25,124.38,46.51,-0.09
6.3,-2.52,1.68,0.26,123.69,37.04,-0.09
6.45,-1.68,-0.19,0.26,83.51,33.1,-0.09
6.6,-0.89,-1.48,0.26,30.89,34.94,-0.09
6.75,0.5,-2.23,0.27,347.34,46.41,-0.1
6.9,0.58,-2.35,0.24,346.14,42.4,-0.08
7.05,-0.01,-1.98,0.28,0.4,25.49,-0.1
7.2,-0.01,-1.62,0.26,0.23,25.49,-0.09
7.35,-0.1,-1.54,0.2,3.67,39.7,-0.07
7.5,0.46,-1.14,0.21,338.19,41.86,-0.08
7.65,0.63,-0.18,0.13,286.22,30.59,-0.05
7.8,1.31,0.9,0.07,235.36,30.28,-0.03
7.95,0.66,1.23,-0.04,208.25,31.99,0.01
8.1,0.33,2.19,-0.13,188.57,27.98,0.05
8.25,0.11,3.02,-0.16,182.1,23.76,0.06
8.4,-0.24,4.16,-0.17,176.65,18.87,0.06
8.55,-0.35,4.76,-0.22,175.75,14.65,0.08
8.7,-0.85,3.87,-0.2,167.57,12.53,0.07
8.85,-1.33,3.64,-0.0,159.86,8.52,0.0
9.0,-2.25,3.25,-0.12,145.29,8.32,0.04
9.15,-2.89,2.73,-0.11,133.35,12.37,0.04
9.3,-3.58,1.59,-0.13,113.99,13.46,0.05
9.45,-3.3,0.73,-0.1,102.45,11.78,0.04
9.6,-3.56,2.81,-0.04,128.28,4.0,0.01
9.75,-3.93,3.88,-0.08,134.61,4.08,0.03
9.9,-3.83,3.69,-0.12,133.93,5.91,0.04
10.05,-0.84,1.02,-0.17,140.51,10.86,0.06
10.2,-1.03,-0.14,-0.15,82.09,10.66,0.05
10.35,-0.62,0.75,-0.04,140.56,1.76,0.01
10.5,-0.9,0.21,0.1,102.95,1.93,-0.04
10.65,-0.96,0.82,0.22,130.56,3.41,-0.08
10.8,-1.78,0.9,0.22,116.8,4.37,-0.08
10.95,-2.57,0.97,0.22,110.6,1.27,-0.08
11.1,-3.41,2.13,0.26,122.01,-1.25,-0.09
